Date Temp Load IsWeekday
2016-06-05 84.92 1.98765 False
2016-06-11 87.08 2.18778 False
2015-07-21 82.94 2.25374 True
2015-07-22 84.92 2.28939 True
2016-06-12 82.94 2.21561 False
2016-06-18 84.02 2.12505 False
2016-06-19 84.02 2.06465 False
2016-06-25 86 2.13 False
2016-06-26 80.06 1.837 False
2016-07-02 80.06 1.69719 False
2016-07-03 75.92 1.88582 False
2016-07-09 84.02 2.29522 False
2015-07-23 84.92 2.48217 True
2015-07-24 84.92 2.36387 True
2015-07-27 77 2.28623 True
2015-07-28 78.98 2.21004 True
2016-07-10 84.02 2.1166 False
2016-07-16 87.08 2.3303 False
2016-07-17 87.08 2.45548 False
2015-07-29 87.98 2.61053 True
2016-07-23 87.08 2.23713 False
2015-07-30 73.04 1.71685 True
2016-07-24 77 1.70107 False
2016-07-30 75.02 1.82875 False
2015-07-31 64.04 1.56165 True
2015-08-03 66.02 1.53449 True
2016-07-31 69.98 1.58477 False
2016-08-06 77 1.72885 False
2016-08-07 84.92 2.12236 False
2016-08-13 87.08 2.44551 False
2016-08-14 91.04 2.5622 False
2016-08-20 86 2.43997 False
2015-08-04 82.94 2.46918 True
2015-08-05 82.04 2.29093 True
2016-08-21 87.08 2.29593 False
2016-08-27 87.08 2.32091 False
2015-08-06 78.98 2.10005 True
2015-08-07 75.92 1.93794 True
2015-08-10 78.98 2.08751 True
2016-08-28 84.92 2.42656 False
2015-08-11 75.92 2.05419 True
2017-06-03 78.98 1.91219 False
2017-06-04 75.02 1.67059 False
2015-08-12 73.04 1.7345 True
2015-08-13 68 1.62796 True
2017-06-10 73.94 1.75539 False
2015-08-14 84.92 2.23799 True
2015-08-17 82.94 2.34816 True
2015-08-18 80.96 2.11408 True
2015-08-19 82.94 2.14336 True
2017-06-11 84.02 2.26966 False
2017-06-17 82.94 2.18643 False
2017-06-18 87.98 2.48853 False
2015-08-20 80.06 2.33406 True
2015-08-21 80.06 2.24222 True
2017-06-24 78.08 1.80906 False
2015-08-24 78.08 1.83136 True
2017-06-25 78.98 1.97376 False
2015-08-25 80.96 2.27495 True
2015-08-26 87.08 2.40964 True
2015-08-27 77 2.14559 True
2017-07-01 84.02 2.37428 False
2015-08-28 78.08 2.00438 True
2017-07-02 80.96 2.13363 False
2015-08-31 84.02 2.48044 True
2016-06-01 87.08 2.5556 True
2016-06-02 89.06 2.68206 True
2016-06-03 87.08 2.62901 True
2016-06-06 87.08 2.56276 True
2016-06-07 78.08 1.99806 True
2017-07-08 80.06 2.08409 False
